id;time;change;insert_time;fk_measurement_station_id
40996;2022-05-09 09:38:39.221698 +00:00;-1;2022-05-09 09:38:39.667558 +00:00;2
40997;2022-05-09 09:38:54.731556 +00:00;-1;2022-05-09 09:38:54.934779 +00:00;2
40998;2022-05-09 09:38:56.605626 +00:00;-1;2022-05-09 09:38:56.768492 +00:00;2
40999;2022-05-09 09:39:12.857200 +00:00;-1;2022-05-09 09:39:13.034078 +00:00;2
41000;2022-05-09 09:39:13.462482 +00:00;1;2022-05-09 09:39:13.747480 +00:00;2
41001;2022-05-09 09:39:16.607413 +00:00;-1;2022-05-09 09:39:16.899111 +00:00;2
41002;2022-05-09 09:39:17.150276 +00:00;1;2022-05-09 09:39:17.357535 +00:00;2
41003;2022-05-09 09:39:25.583611 +00:00;1;2022-05-09 09:39:25.874195 +00:00;2
41004;2022-05-09 09:39:34.435220 +00:00;-1;2022-05-09 09:39:34.753604 +00:00;2
41005;2022-05-09 09:39:34.783924 +00:00;-1;2022-05-09 09:39:35.058442 +00:00;2
41006;2022-05-09 09:39:38.260966 +00:00;1;2022-05-09 09:39:38.532584 +00:00;2
41007;2022-05-09 09:39:40.802159 +00:00;1;2022-05-09 09:39:41.016182 +00:00;2
41008;2022-05-09 09:39:42.198508 +00:00;1;2022-05-09 09:39:42.387679 +00:00;2
41009;2022-05-09 09:39:50.125815 +00:00;-1;2022-05-09 09:39:50.411036 +00:00;2
41010;2022-05-09 09:39:50.947200 +00:00;1;2022-05-09 09:39:51.152349 +00:00;2
41011;2022-05-09 09:39:57.386561 +00:00;1;2022-05-09 09:39:57.742675 +00:00;2
41012;2022-05-09 09:40:00.769942 +00:00;-1;2022-05-09 09:40:01.011616 +00:00;2
41013;2022-05-09 09:40:02.960901 +00:00;1;2022-05-09 09:40:03.171687 +00:00;2
41014;2022-05-09 09:40:03.494096 +00:00;1;2022-05-09 09:40:03.751866 +00:00;2
41015;2022-05-09 09:40:04.617541 +00:00;1;2022-05-09 09:40:05.967758 +00:00;2
41016;2022-05-09 09:40:06.432539 +00:00;1;2022-05-09 09:40:06.785186 +00:00;2
41017;2022-05-09 09:40:07.451310 +00:00;1;2022-05-09 09:40:07.645534 +00:00;2
